id,layers,activation,optimizer,rmae_global_train,rmae_global_valid
1,"[3, 8, 2]",relu,ADAM,0.07033063742549986,0.06862426495685993
2,"[3, 8, 2]",relu,RMSProp,0.08425475203203439,0.08284313421573511
3,"[3, 16, 2]",relu,ADAM,0.045706326961703105,0.04320759674166243
4,"[3, 16, 2]",relu,RMSProp,0.03814974193243673,0.0362419323697648
5,"[3, 16, 8, 2]",relu,ADAM,0.0223634544306808,0.020898508955190527
6,"[3, 16, 8, 2]",relu,RMSProp,0.027215313341570978,0.026132644920604076
7,"[3, 16, 16, 2]",relu,ADAM,0.022483855261354824,0.020671446055370652
8,"[3, 16, 16, 2]",relu,RMSProp,0.02489776470005728,0.022957412564115525
9,"[3, 8, 16, 8, 2]",relu,ADAM,0.024325548733839623,0.022744572522201082
10,"[3, 8, 16, 8, 2]",relu,RMSProp,0.029474300747361345,0.02815239609927744
11,"[3, 16, 32, 16, 2]",relu,ADAM,0.014141840954189048,0.012639648716352975
12,"[3, 16, 32, 16, 2]",relu,RMSProp,0.017249180473964988,0.01582971026469551
13,"[3, 32, 64, 16, 2]",relu,ADAM,0.013656543986549556,0.011854905221092674
14,"[3, 32, 64, 16, 2]",relu,RMSProp,0.015854653537048208,0.014364668213847229
15,"[3, 16, 32, 16, 8, 2]",relu,ADAM,0.01355345912534377,0.012104155886617915
16,"[3, 16, 32, 16, 8, 2]",relu,RMSProp,0.015682716584978135,0.013683056730294307
17,"[3, 32, 64, 8, 8, 2]",relu,ADAM,0.012216666562213013,0.010014234667211963
18,"[3, 32, 64, 8, 8, 2]",relu,RMSProp,0.01803073634050119,0.016224677117426548
19,"[3, 32, 64, 32, 16, 2]",relu,ADAM,0.01326098107769938,0.010855976559803571
20,"[3, 32, 64, 32, 16, 2]",relu,RMSProp,0.02003467186169288,0.017618218203547364
21,"[3, 30, 25, 20, 15, 10, 2]",relu,ADAM,0.013167892164329389,0.011521460899547344
22,"[3, 30, 25, 20, 15, 10, 2]",relu,RMSProp,0.020736776046748027,0.01859579288732715
23,"[3, 16, 8, 2]",tanh,ADAM,0.02568922246758676,0.02328926629641067
24,"[3, 16, 8, 2]",tanh,RMSProp,0.023637586885982265,0.021067806666234753
25,"[3, 16, 32, 16, 2]",tanh,ADAM,0.015757645942603805,0.013172907165605029
26,"[3, 16, 32, 16, 2]",tanh,RMSProp,0.01707784384846231,0.01591414267993851
27,"[3, 32, 64, 16, 2]",tanh,ADAM,0.013856161383262523,0.012440304943787842
28,"[3, 32, 64, 16, 2]",tanh,RMSProp,0.01597334806714721,0.012867515682875542
29,"[3, 30, 25, 20, 15, 10, 2]",σ,ADAM,0.023735249090965967,0.022175875754398788
30,"[3, 30, 25, 20, 15, 10, 2]",σ,RMSProp,0.03188913822060641,0.02899028876179819
37,"[3, 32, 64, 8, 8, 2]",swish,ADAM,0.0168230115469831,0.014233327071531871
38,"[3, 32, 64, 8, 8, 2]",swish,RMSProp,0.01638679650010752,0.013588896521837807
39,"[3, 32, 64, 32, 16, 2]",swish,ADAM,0.012668132759880676,0.010562987518397309
40,"[3, 32, 64, 32, 16, 2]",swish,RMSProp,0.015705677038589064,0.012495275228490236
41,"[3, 30, 25, 20, 15, 10, 2]",swish,ADAM,0.01406339276436492,0.012502924904473628
42,"[3, 30, 25, 20, 15, 10, 2]",swish,RMSProp,0.015409096863054944,0.01272528548517788
44,"[3, 32, 64, 8, 8, 2]",swish,ADAM,0.018307992969354182,0.0169672935776811
45,"[3, 32, 64, 8, 8, 2]",swish,RMSProp,0.017028687427815388,0.01499253369933052
46,"[3, 32, 64, 32, 16, 2]",swish,ADAM,0.014743336660135855,0.012225139181470168
47,"[3, 32, 64, 32, 16, 2]",swish,RMSProp,0.015132767898414725,0.013180504607844196
48,"[3, 30, 25, 20, 15, 10, 2]",swish,ADAM,0.01606134676235197,0.01344780326513183
49,"[3, 30, 25, 20, 15, 10, 2]",swish,RMSProp,0.016348636912037372,0.014185966444087992
