ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
19,"[3, 32, 32, 16, 8, 1]",relu,AdamW,15,0.027062531343205704,0.024662291480057864
20,"[3, 32, 32, 16, 8, 1]",relu,AdamW,30,0.027380144069002594,0.02479304690600334
21,"[3, 32, 32, 16, 8, 1]",tanh_fast,AdamW,15,0.02063059945271512,0.019908340908788468
22,"[3, 32, 32, 16, 8, 1]",tanh_fast,AdamW,30,0.022282315988388913,0.020525023699194664
23,"[3, 32, 32, 16, 8, 1]",swish,AdamW,15,0.02206516794647076,0.019481881222561604
24,"[3, 32, 32, 16, 8, 1]",swish,AdamW,30,0.020537580812845353,0.019887841908095737
25,"[3, 32, 64, 16, 8, 1]",relu,AdamW,15,0.022409440300572188,0.01984293261205945
26,"[3, 32, 64, 16, 8, 1]",relu,AdamW,30,0.020142361271665778,0.01989662287057096
27,"[3, 32, 64, 16, 8, 1]",tanh_fast,AdamW,15,0.015395822743798204,0.013012183844752567
28,"[3, 32, 64, 16, 8, 1]",tanh_fast,AdamW,30,0.01912803393583086,0.015699007306776994
29,"[3, 32, 64, 16, 8, 1]",swish,AdamW,15,0.021428514334603015,0.01879209958392801
30,"[3, 32, 64, 16, 8, 1]",swish,AdamW,30,0.02059095286723084,0.019816161030941942
31,"[3, 128, 64, 16, 8, 1]",relu,AdamW,15,0.020612141839065574,0.01893912356065128
32,"[3, 128, 64, 16, 8, 1]",relu,AdamW,30,0.02052828502016742,0.020488504654122743
33,"[3, 128, 64, 16, 8, 1]",tanh_fast,AdamW,15,0.021578159409749303,0.020469375934853904
34,"[3, 128, 64, 16, 8, 1]",tanh_fast,AdamW,30,0.02166048438895111,0.0197427305181167
35,"[3, 128, 64, 16, 8, 1]",swish,AdamW,15,0.02089717349112742,0.01894092271533154
36,"[3, 128, 64, 16, 8, 1]",swish,AdamW,30,0.01543942361565897,0.014882176659229768
